stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\user\Desktop\CSI2P-Final-Project-Template\Final2024\allegro5.cfg r
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.20297] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.20298] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.20299] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.20300] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.20302] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.20303] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.20304] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   1.20305] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   1.20306] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   1.20308] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   1.20309] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   1.20417] added dtor for bitmap 00000000187e3de0, func 00007ffbc6b11bea
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.20436] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.20439] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.20441] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.20442] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.20443] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.20444] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.20445] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.20446] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.20447] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   1.20448] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   1.20449] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   1.20451] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   1.20452] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   1.20508] added dtor for bitmap 00000000187e22e0, func 00007ffbc6b11bea
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.20534] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.20536] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.20538] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.20539] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.20540] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.20541] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.20542] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.20543] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.20545] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   1.20547] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   1.20548] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   1.20549] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   1.20550] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   1.20652] added dtor for bitmap 00000000187e42f0, func 00007ffbc6b11bea
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.20681] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.20685] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.20686] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.20687] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.20688] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.20689] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.20690] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.20691] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.20692] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   1.20693] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   1.20694] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   1.20695] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   1.20697] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   1.20750] added dtor for bitmap 00000000187e18c0, func 00007ffbc6b11bea
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.20775] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.20778] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.20779] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.20780] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.20781] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.20782] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.20783] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.20784] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.20786] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   1.20787] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   1.20788] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   1.20789] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   1.20790] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   1.20875] added dtor for bitmap 00000000187e4d10, func 00007ffbc6b11bea
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.20896] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.20899] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.20900] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.20902] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.20903] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.20904] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.20906] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.20908] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.20909] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   1.20910] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   1.20911] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   1.20912] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   1.20913] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   1.20960] added dtor for bitmap 00000000187e4650, func 00007ffbc6b11bea
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.20980] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.20982] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.20983] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.20984] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.20985] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.20986] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.20987] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.20989] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.20990] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   1.20991] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   1.20992] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   1.20993] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   1.20994] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   1.21071] added dtor for bitmap 00000000187e2640, func 00007ffbc6b11bea
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21089] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21091] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21092] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21093] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21094] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21095] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21096] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21097] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21098] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   1.21100] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   1.21101] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   1.21102] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   1.21103] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   1.21145] added dtor for bitmap 00000000187e53d0, func 00007ffbc6b11bea
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21165] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21167] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21169] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21170] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21171] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21173] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21175] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21176] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21177] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   1.21178] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   1.21179] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   1.21181] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   1.21182] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   1.21266] added dtor for bitmap 00000000187e2130, func 00007ffbc6b11bea
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21284] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21286] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21287] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21288] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21289] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21291] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21292] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21293] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21294] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   1.21295] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   1.21296] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   1.21297] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   1.21299] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   1.21347] added dtor for bitmap 00000000187e2b50, func 00007ffbc6b11bea
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21371] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21373] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21374] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21375] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21376] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21378] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21379] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21380] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21381] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   1.21382] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   1.21383] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   1.21384] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   1.21386] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   1.21472] added dtor for bitmap 00000000187e4140, func 00007ffbc6b11bea
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21498] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21500] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21501] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21504] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21505] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21507] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21508] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21509] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21510] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   1.21511] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   1.21512] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   1.21513] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   1.21515] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   1.21564] added dtor for bitmap 00000000187e3a80, func 00007ffbc6b11bea
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21588] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21590] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21591] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21592] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21593] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21595] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21596] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21597] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21598] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   1.21599] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   1.21600] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   1.21601] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   1.21603] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   1.21687] added dtor for bitmap 00000000187e1a70, func 00007ffbc6b11bea
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21712] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21718] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21719] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21720] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21721] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21722] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21723] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21724] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21725] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   1.21726] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   1.21728] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   1.21736] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   1.21737] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   1.21799] added dtor for bitmap 00000000187e2490, func 00007ffbc6b11bea
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21856] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21862] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21865] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21867] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21869] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21871] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21872] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21873] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21874] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   1.21875] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   1.21876] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   1.21877] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   1.21878] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   1.21961] added dtor for bitmap 00000000187e2eb0, func 00007ffbc6b11bea
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21985] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21987] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21989] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21990] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21991] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21992] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21993] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21994] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.21995] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   1.21997] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   1.21998] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   1.21999] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   1.22000] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   1.22065] added dtor for bitmap 00000000187e3060, func 00007ffbc6b11bea
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.22090] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.22092] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.22093] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.22094] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.22095] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.22096] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.22097] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.22098] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.22100] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   1.22101] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   1.22102] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   1.22103] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   1.22105] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   1.22201] added dtor for bitmap 00000000187e3210, func 00007ffbc6b11bea
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.22226] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.22230] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.22231] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.22232] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.22233] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.22234] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.22235] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.22236] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.22237] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   1.22238] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   1.22240] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   1.22241] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   1.22242] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   1.22304] added dtor for bitmap 00000000187e44a0, func 00007ffbc6b11bea
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.22320] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.22321] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.22322] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.22324] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.22325] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.22326] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.22326] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.22327] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.22328] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   1.22329] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   1.22330] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   1.22331] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   1.22332] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   1.22385] added dtor for bitmap 00000000187e38d0, func 00007ffbc6b11bea
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.22410] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.22413] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.22414] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.22415] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.22416] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.22417] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.22418] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.22419] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.22421] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   1.22422] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   1.22423] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   1.22424] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   1.22427] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   1.22477] added dtor for bitmap 00000000187e33c0, func 00007ffbc6b11bea
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.22501] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.22503] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.22504] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.22505] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.22506] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.22507] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.22509] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.22510] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.22511] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   1.22513] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   1.22514] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   1.22515] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   1.22516] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   1.22562] added dtor for bitmap 00000000187e1c20, func 00007ffbc6b11bea
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.22582] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.22584] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.22585] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.22586] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.22587] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.22588] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.22589] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.22590] Fake format
